"county_state","county","state","total_pop","asian_pop","crime_total","crime_rate","rank_total","rank_rate","log_total","log_rate","x1","y1","x2","y2"
"Johnson, Kansas","Johnson","Kansas",609863,33030,8,2.422040569,121,119,2.19722457733622,1.23023703074748,62,2.19722457733622,2.19722457733622,1.23023703074748
"Stanislaus, California","Stanislaus","California",552878,34778,8,2.30030479,121,125,2.19722457733622,1.19401482481352,63,2.19722457733622,2.19722457733622,1.19401482481352
"Monmouth, New Jersey","Monmouth","New Jersey",643615,36316,8,2.20288578,121,128,2.19722457733622,1.16405220967273,64,2.19722457733622,2.19722457733622,1.16405220967273
"Arapahoe, Colorado","Arapahoe","Colorado",655070,42472,8,1.883593897,121,140,2.19722457733622,1.05903739709439,65,2.19722457733622,2.19722457733622,1.05903739709439
"Forsyth, Georgia","Forsyth","Georgia",251283,45203,8,1.76979404,121,146,2.19722457733622,1.01877296364425,66,2.19722457733622,2.19722457733622,1.01877296364425
"Boulder, Colorado","Boulder","Colorado",330758,16450,9,5.47112462,114,41,2.30258509299405,1.86734991411871,67,2.30258509299405,2.30258509299405,1.86734991411871
"El Paso, Colorado","El Paso","Colorado",730395,22471,9,4.005162209,114,70,2.30258509299405,1.61046982163262,68,2.30258509299405,2.30258509299405,1.61046982163262
"Burlington, New Jersey","Burlington","New Jersey",461860,26235,9,3.430531732,114,84,2.30258509299405,1.48851960665088,69,2.30258509299405,2.30258509299405,1.48851960665088
"Essex, Massachusetts","Essex","Massachusetts",809829,29819,9,3.018209866,114,95,2.30258509299405,1.39083649648716,70,2.30258509299405,2.30258509299405,1.39083649648716
"Delaware, Pennsylvania","Delaware","Pennsylvania",576830,36457,9,2.468661711,114,113,2.30258509299405,1.243768845504,71,2.30258509299405,2.30258509299405,1.243768845504
"Hartford, Connecticut","Hartford","Connecticut",899498,53844,9,1.671495431,114,151,2.30258509299405,0.9826384021391,72,2.30258509299405,2.30258509299405,0.9826384021391
"Morris, New Jersey","Morris","New Jersey",509285,58034,9,1.550815039,114,155,2.30258509299405,0.936412931238996,73,2.30258509299405,2.30258509299405,0.936412931238996
"Clark, Washington","Clark","Washington",503311,24274,10,4.119634176,111,67,2.39789527279837,1.63308298649874,74,2.39789527279837,2.39789527279837,1.63308298649874
"Anne Arundel, Maryland","Anne Arundel","Maryland",588261,25504,10,3.920953576,111,72,2.39789527279837,1.59350232798443,75,2.39789527279837,2.39789527279837,1.59350232798443
"Gwinnett, Georgia","Gwinnett","Georgia",957062,127152,10,0.786460299,111,177,2.39789527279837,0.580236175452422,76,2.39789527279837,2.39789527279837,0.580236175452422
"Tulsa, Oklahoma","Tulsa","Oklahoma",669279,25122,11,4.378632275,109,62,2.484906649788,1.6824341178756,77,2.484906649788,2.484906649788,1.6824341178756
"Middlesex, New Jersey","Middlesex","New Jersey",863162,228813,11,0.480741916,109,183,2.484906649788,0.392543256764458,78,2.484906649788,2.484906649788,0.392543256764458
"St. Louis, Missouri","St. Louis","Missouri",301578,12289,12,9.764830336,102,13,2.56494935746154,2.37628436998613,79,2.56494935746154,2.56494935746154,2.37628436998613
"Washington, Minnesota","Washington","Minnesota",267568,18604,12,6.450225758,102,30,2.56494935746154,2.00824433501959,80,2.56494935746154,2.56494935746154,2.00824433501959
"Albany, New York","Albany","New York",314848,24473,12,4.90336289,102,48,2.56494935746154,1.77552216988993,81,2.56494935746154,2.56494935746154,1.77552216988993
"New Castle, Delaware","New Castle","Delaware",570719,35200,12,3.409090909,102,85,2.56494935746154,1.48366852512445,82,2.56494935746154,2.56494935746154,1.48366852512445
"Salt Lake, Utah","Salt Lake","Utah",1185238,51030,12,2.351557907,102,123,2.56494935746154,1.20942528460187,84,2.56494935746154,2.56494935746154,1.20942528460187
"Loudoun, Virginia","Loudoun","Virginia",420959,89779,12,1.336615467,102,164,2.56494935746154,0.848703500726062,85,2.56494935746154,2.56494935746154,0.848703500726062
"Bernalillo, New Mexico","Bernalillo","New Mexico",676444,20253,13,6.418802153,95,31,2.63905732961526,2.00401760924161,86,2.63905732961526,2.63905732961526,2.00401760924161
"Summit, Ohio","Summit","Ohio",540428,22621,13,5.746872375,95,37,2.63905732961526,1.90907904565195,87,2.63905732961526,2.63905732961526,1.90907904565195
"Palm Beach, Florida","Palm Beach","Florida",1492191,44140,13,2.945174445,95,96,2.63905732961526,1.37249317258509,88,2.63905732961526,2.63905732961526,1.37249317258509
