"county_state","county","state","total_pop","asian_pop","crime_total","crime_rate","rank_total","rank_rate","log_total","log_rate","x1","y1","x2","y2"
"Monterey, California","Monterey","California",439035,26680,22,8.245877061,58,18,3.13549421592915,2.22417772902512,127,3.13549421592915,3.13549421592915,2.22417772902512
"Cuyahoga, Ohio","Cuyahoga","Ohio",1264817,44071,22,4.991944816,58,47,3.13549421592915,1.79041603655969,128,3.13549421592915,3.13549421592915,1.79041603655969
"Bexar, Texas","Bexar","Texas",2009324,68675,22,3.203494722,58,91,3.13549421592915,1.43591625597211,129,3.13549421592915,3.13549421592915,1.43591625597211
"Richmond, New York","Richmond","New York",495747,59279,23,3.879957489,56,75,3.17805383034795,1.58513650855662,130,3.17805383034795,3.17805383034795,1.58513650855662
"San Joaquin, California","San Joaquin","California",779233,139323,23,1.650840134,56,153,3.17805383034795,0.974876621452314,131,3.17805383034795,3.17805383034795,0.974876621452314
"Washtenaw, Michigan","Washtenaw","Michigan",372258,33632,24,7.136060894,53,24,3.2188758248682,2.09630614323152,132,3.2188758248682,3.2188758248682,2.09630614323152
"Washington, Oregon","Washington","Oregon",600372,69106,24,3.47292565,53,82,3.2188758248682,1.49804270235862,133,3.2188758248682,3.2188758248682,1.49804270235862
"Oakland, Michigan","Oakland","Michigan",1274395,105974,24,2.264706437,53,127,3.2188758248682,1.18316984658805,134,3.2188758248682,3.2188758248682,1.18316984658805
"Orange, Florida","Orange","Florida",1429908,78348,25,3.190891918,52,92,3.25809653802148,1.43291357953857,135,3.25809653802148,3.25809653802148,1.43291357953857
"Yolo, California","Yolo","California",216403,30392,26,8.554882864,50,17,3.29583686600433,2.25705231848575,136,3.29583686600433,3.29583686600433,2.25705231848575
"Wake, North Carolina","Wake","North Carolina",1129410,97042,26,2.679252283,50,106,3.29583686600433,1.30270954756879,137,3.29583686600433,3.29583686600433,1.30270954756879
"Tarrant, Texas","Tarrant","Texas",2110640,129437,27,2.085956875,48,134,3.3322045101752,1.12686177944281,138,3.3322045101752,3.3322045101752,1.12686177944281
"Collin, Texas","Collin","Texas",1064465,189209,27,1.426993431,48,158,3.3322045101752,0.886653220107097,139,3.3322045101752,3.3322045101752,0.886653220107097
"Marin, California","Marin","California",262321,16431,29,17.64956485,45,5,3.40119738166216,2.92582281337794,140,3.40119738166216,3.40119738166216,2.92582281337794
"New Haven, Connecticut","New Haven","Connecticut",864835,37520,29,7.729211087,45,21,3.40119738166216,2.16667499772684,141,3.40119738166216,3.40119738166216,2.16667499772684
"Franklin, Ohio","Franklin","Ohio",1323807,74071,29,3.915162479,45,73,3.40119738166216,1.59232481083503,142,3.40119738166216,3.40119738166216,1.59232481083503
"Denver, Colorado","Denver","Colorado",715522,27875,30,10.76233184,44,8,3.43398720448515,2.46490220852875,143,3.43398720448515,3.43398720448515,2.46490220852875
"Ventura, California","Ventura","California",843843,64923,31,4.774887174,43,54,3.46573590279973,1.75351871924731,144,3.46573590279973,3.46573590279973,1.75351871924731
"Montgomery, Pennsylvania","Montgomery","Pennsylvania",856553,68032,32,4.703668862,41,57,3.49650756146648,1.74110962778025,145,3.49650756146648,3.49650756146648,1.74110962778025
"Bergen, New Jersey","Bergen","New Jersey",955732,158630,32,2.017272899,41,137,3.49650756146648,1.10435340984824,146,3.49650756146648,3.49650756146648,1.10435340984824
"Westchester, New York","Westchester","New York",1004457,65707,33,5.02229595,40,46,3.52636052461616,1.79546857365437,147,3.52636052461616,3.52636052461616,1.79546857365437
"Santa Cruz, California","Santa Cruz","California",270861,12553,35,27.88178125,38,4,3.58351893845611,3.36321098975422,148,3.58351893845611,3.58351893845611,3.36321098975422
"Nassau, New York","Nassau","New York",1395774,164201,35,2.131533913,38,132,3.58351893845611,1.14152295255905,149,3.58351893845611,3.58351893845611,1.14152295255905
"Honolulu, Hawaii","Honolulu","Hawaii",1016508,436853,36,0.824075833,37,175,3.61091791264422,0.601073465897568,150,3.61091791264422,3.61091791264422,0.601073465897568
"Fulton, Georgia","Fulton","Georgia",1066710,80949,45,5.559055702,36,40,3.8286413964891,1.88084664472866,151,3.8286413964891,3.8286413964891,1.88084664472866
"Dallas, Texas","Dallas","Texas",2613539,183124,46,2.51195911,35,110,3.85014760171006,1.25617403276659,152,3.85014760171006,3.85014760171006,1.25617403276659
"Bronx, New York","Bronx","New York",1472654,69559,47,6.756853894,34,26,3.87120101090789,2.04857682595685,153,3.87120101090789,3.87120101090789,2.04857682595685
"Snohomish, Washington","Snohomish","Washington",827957,101464,49,4.829299062,33,50,3.91202300542815,1.76289676363168,154,3.91202300542815,3.91202300542815,1.76289676363168
"San Bernardino, California","San Bernardino","California",2181654,182287,53,2.907503004,32,97,3.98898404656427,1.36289855209119,155,3.98898404656427,3.98898404656427,1.36289855209119
