race_label,age,density
Anti-Black,0.0,0.0007215628826186354
Anti-Black,0.5025125628140703,0.0006095805878414838
Anti-Black,1.0050251256281406,0.0005469572741803849
Anti-Black,1.507537688442211,0.0005223176997768218
Anti-Black,2.0100502512562812,0.0005273891499272777
Anti-Black,2.5125628140703515,0.0005574507010819642
Anti-Black,3.015075376884422,0.0006113444320706096
Anti-Black,3.517587939698492,0.0006912153958627722
Anti-Black,4.0201005025125625,0.0008021070438892447
Anti-Black,4.522613065326633,0.0009514858018147573
Anti-Black,5.025125628140703,0.0011487196796063888
Anti-Black,5.527638190954773,0.0014045006338010543
Anti-Black,6.030150753768844,0.0017301818480484669
Anti-Black,6.532663316582914,0.0021369982704255784
Anti-Black,7.035175879396984,0.0026351496856690765
Anti-Black,7.537688442211055,0.003232748944706818
Anti-Black,8.040201005025125,0.0039346728192621964
Anti-Black,8.542713567839195,0.0047413970832554915
Anti-Black,9.045226130653266,0.005647944976721833
Anti-Black,9.547738693467336,0.006643118331603934
Anti-Black,10.050251256281406,0.007709198622774991
Anti-Black,10.552763819095476,0.008822286502465585
Anti-Black,11.055276381909547,0.009953384489640936
Anti-Black,11.557788944723617,0.011070221466591543
Anti-Black,12.060301507537687,0.012139686465129817
Anti-Black,12.562814070351758,0.01313061130926933
Anti-Black,13.065326633165828,0.014016549509355429
Anti-Black,13.567839195979898,0.014778168982005777
Anti-Black,14.070351758793969,0.015404920424757584
Anti-Black,14.572864321608039,0.015895753829605237
Anti-Black,15.07537688442211,0.016258807512303457
Anti-Black,15.57788944723618,0.016510152287880515
Anti-Black,16.08040201005025,0.016671804205834955
Anti-Black,16.58291457286432,0.016769299491301945
Anti-Black,17.08542713567839,0.016829147858950975
Anti-Black,17.587939698492463,0.01687645305202445
Anti-Black,18.09045226130653,0.016932929363901207
Anti-Black,18.5929648241206,0.01701546843549112
Anti-Black,19.09547738693467,0.017135335328402192
Anti-Black,19.597989949748744,0.017298003192854267
Anti-Black,20.100502512562812,0.017503573112085835
Anti-Black,20.60301507537688,0.017747670412759414
Anti-Black,21.105527638190953,0.018022664188758517
Anti-Black,21.608040201005025,0.018319029766782544
Anti-Black,22.110552763819094,0.01862667181888048
Anti-Black,22.613065326633162,0.01893605238761393
Anti-Black,23.115577889447234,0.01923901929583054
Anti-Black,23.618090452261306,0.019529294437808622
Anti-Black,24.120603015075375,0.019802642086356452
Anti-Black,24.623115577889443,0.02005677990882511
Anti-Black,25.125628140703515,0.020291112175578687
Anti-Black,25.628140703517587,0.020506357484632764
Anti-Black,26.130653266331656,0.020704121977728154
Anti-Black,26.633165829145725,0.020886446479669977
Anti-Black,27.135678391959797,0.021055342930200928
Anti-Black,27.63819095477387,0.02121233634108605
Anti-Black,28.140703517587937,0.02135804067821401
Anti-Black,28.643216080402006,0.021491812954008416
Anti-Black,29.145728643216078,0.02161154052019008
Anti-Black,29.64824120603015,0.021713615278156035
Anti-Black,30.15075376884422,0.02179313251846657
Anti-Black,30.653266331658287,0.021844322856859152
Anti-Black,31.15577889447236,0.021861188055893908
Anti-Black,31.65829145728643,0.02183827225664745
Anti-Black,32.1608040201005,0.021771467076902053
Anti-Black,32.66331658291457,0.02165872984407961
Anti-Black,33.16582914572864,0.021500595163981007
Anti-Black,33.66834170854271,0.021300384074645663
Anti-Black,34.17085427135678,0.02106406014633316
Anti-Black,34.67336683417085,0.020799740172248532
Anti-Black,35.175879396984925,0.02051692600649
Anti-Black,35.678391959798994,0.020225569819219927
Anti-Black,36.18090452261306,0.01993510701108939
Anti-Black,36.68341708542713,0.019653585853727375
Anti-Black,37.1859296482412,0.01938699554412528
Anti-Black,37.688442211055275,0.019138855777919763
Anti-Black,38.19095477386934,0.018910093276090542
Anti-Black,38.69346733668341,0.018699201897070458
Anti-Black,39.19597989949749,0.018502663866147663
Anti-Black,39.698492462311556,0.018315594881610286
Anti-Black,40.201005025125625,0.018132558159855875
Anti-Black,40.70351758793969,0.01794846814379772
Anti-Black,41.20603015075376,0.01775947695386912
Anti-Black,41.70854271356784,0.01756371567277675
Anti-Black,42.211055276381906,0.01736176054276583
Anti-Black,42.713567839195974,0.017156719786951987
Anti-Black,43.21608040201005,0.016953890359952165
Anti-Black,43.71859296482412,0.01676000633337308
Anti-Black,44.22110552763819,0.016582176079436906
Anti-Black,44.723618090452256,0.016426666896285903
Anti-Black,45.226130653266324,0.016297730121516994
Anti-Black,45.7286432160804,0.016196660962942346
Anti-Black,46.23115577889447,0.016121256181389206
Anti-Black,46.73366834170854,0.016065775473413608
Anti-Black,47.23618090452261,0.016021437720524855
Anti-Black,47.73869346733668,0.015977401138796025
Anti-Black,48.24120603015075,0.01592209749937654
Anti-Black,48.74371859296482,0.015844726622905585
Anti-Black,49.24623115577889,0.01573668026087047
Anti-Black,49.74874371859296,0.015592664556302963
Anti-Black,50.25125628140703,0.015411332767039815
Anti-Black,50.7537688442211,0.015195321598524034
Anti-Black,51.256281407035175,0.01495069190816612
Anti-Black,51.75879396984924,0.014685885599335884
Anti-Black,52.26130653266331,0.01441039942894812
Anti-Black,52.76381909547738,0.01413342104300234
Anti-Black,53.26633165829145,0.013862661467987114
Anti-Black,53.768844221105525,0.013603555275199703
Anti-Black,54.27135678391959,0.013358903099441051
Anti-Black,54.77386934673366,0.013128928736353922
Anti-Black,55.27638190954774,0.012911642761321472
Anti-Black,55.778894472361806,0.01270336616243189
Anti-Black,56.281407035175874,0.012499276113926849
Anti-Black,56.78391959798994,0.012293881724494133
Anti-Black,57.28643216080401,0.01208139953892344
