Race,Residence,School,Commercial,Road,Other
Anti-Black,34.41,11.42,12.54,26.87,14.76
Anti-Asian,23.28,6.78,20.51,33.74,15.69
Anti-Hispanic,30.56,7.95,17.82,30.0,13.69
