bias_group,Acquaintance,Stranger,Unknown
Anti-Asian,17.365710080941867,29.433406916850625,53.20088300220751
Anti-Black,28.73972602739726,19.746575342465754,51.513698630136986
Anti-Hispanic,29.261744966442954,28.859060402684566,41.87919463087248
